date,open,high,low,close,volume,return_1d,return_5d,return_20d,ma_5,ma_20,ma_50,volatility_20d,rsi_14,bb_upper,bb_lower,bb_position,macd,macd_signal
2023-06-05,1947.5,1961.9000244140625,1937.800048828125,1958.0,713,0.0028682521593483834,0.007149850619113884,-0.02944385034956798,1962.060009765625,1982.6,1991.7180004882812,0.1150123050685719,33.818761703093855,2042.7831152673702,1922.4168847326296,-0.40875251955088576,-11.932004186960057,-10.282244133737054
2023-06-06,1960.800048828125,1965.5,1958.800048828125,1965.5,164,0.003830439223697635,0.003830439223697635,-0.030005451987867082,1963.560009765625,1979.5599975585938,1991.3860009765624,0.11463611145789349,42.9883543520418,2036.5039559944769,1922.6160391227106,-0.24690938151762212,-11.140798367646312,-10.453956941132573
2023-06-07,1959.0,1968.4000244140625,1940.699951171875,1942.699951171875,139,-0.011600126597875904,-0.010794884148195183,-0.04591886958163849,1959.3199951171875,1974.8849975585938,1991.1919995117187,0.11736517197571719,39.349769954503266,2027.432489031531,1922.3375060856565,-0.6124944404479019,-12.181720784405115,-10.79951286622802
2023-06-08,1943.199951171875,1969.0,1943.0999755859375,1963.5999755859375,433,0.010758235929050786,-0.007280093232589713,-0.032947561888235666,1956.439990234375,1971.5399963378907,1991.0159985351563,0.12616944449103196,52.02740621771135,2017.2540438080712,1925.8259488677102,-0.17368885914368298,-11.216837998523033,-10.882978502612843
2023-06-09,1965.0999755859375,1969.800048828125,1960.300048828125,1962.199951171875,49,-0.0007129886084077386,0.005019425648057796,-0.02605847087525992,1958.3999755859375,1968.9149963378907,1990.937998046875,0.12408643040057234,44.653274536669244,2009.9876390166596,1927.8423536591217,-0.16349191890373332,-10.442977346968974,-10.794977757031136
2023-06-12,1959.699951171875,1963.5,1951.4000244140625,1955.300048828125,212,-0.003516411433824196,-0.0013789331827758211,-0.029386920412943662,1957.8599853515625,1965.9549987792968,1990.437998046875,0.12424417685621462,43.80165481622537,2001.3332910079214,1930.5767065506723,-0.30117196958763315,-10.260537099321937,-10.688089125591983
2023-06-13,1960.5999755859375,1967.5,1940.300048828125,1944.5999755859375,343,-0.005472343361623944,-0.010633439030304004,-0.03637265828248881,1953.67998046875,1962.2849975585937,1989.9499975585939,0.12441809555689258,41.60627039997378,1989.1303190137394,1935.439676103448,-0.6587748260768336,-10.843377824673098,-10.71914698160944
2023-06-14,1946.199951171875,1958.199951171875,1940.300048828125,1955.300048828125,202,0.0055024546829809395,0.006485869137253797,-0.01664653750730627,1956.2,1960.6299987792968,1989.377998046875,0.11718659787481642,47.750452545278264,1984.626503178497,1936.6334943800966,-0.22211359881763587,-10.332437367342436,-10.641804827258957
2023-06-15,1941.699951171875,1958.800048828125,1926.0,1957.800048828125,329,0.0012785761456397537,-0.0029537211397050456,-0.011561520123328783,1955.0400146484376,1959.4850036621094,1988.09,0.11682886330818217,54.91640844070219,1981.5575558593619,1937.412451464857,-0.07633710949776445,-9.616943831915478,-10.436832137378177
2023-06-16,1961.4000244140625,1962.9000244140625,1953.5,1958.4000244140625,119,0.0003064539641302044,-0.0019365644951438998,0.0009711343797917937,1954.280029296875,1959.5800048828125,1986.84,0.10840148248851035,54.79545253536971,1981.6147852411664,1937.5452245244587,-0.053550816007899744,-8.89929642788843,-10.129324406412445
