date,open,high,low,close,volume,return_1d,return_5d,return_20d,ma_5,ma_20,ma_50,volatility_20d,rsi_14,bb_upper,bb_lower,bb_position,macd,macd_signal
2023-06-05,609.0,614.0,595.0,597.5,168376,-0.018883415435139606,-0.010761589403973537,-0.08534251817833904,597.4,598.625,630.735,0.3569706812648404,51.968503936435,658.381193248727,538.868806751273,-0.018826500465239815,-9.57809922806723,-13.232634819578541
2023-06-06,599.75,610.75,599.75,608.0,185929,0.01757322175732212,0.023569023569023573,-0.07387661843107385,600.2,596.2,630.035,0.3640001534365665,60.59405940526866,649.673210213401,542.726789786599,0.22067124739446947,-7.916740954686588,-12.169443907105938
2023-06-07,605.0,612.5,601.75,604.25,174301,-0.00616776315789469,0.017255892255892302,-0.05916699104709999,602.25,594.3,629.155,0.3578626908101055,69.38775510115971,643.4058470095626,545.1941529904373,0.20262352868166889,-6.819065861589934,-11.09935852343061
2023-06-08,600.0,613.25,595.25,610.25,178765,0.009929664873810529,0.029957805907173007,-0.054608830364058836,605.8,592.5375,628.415,0.3596938669565356,74.99999999904546,636.1262705843249,548.9487294156752,0.4063546588379576,-5.410257764805351,-9.961530057014725
2023-06-09,608.25,609.0,597.5,604.25,174688,-0.009832036050798854,-0.007799671592775059,-0.044664031620553324,604.85,591.125,627.49,0.35483902984018456,71.58351409891353,630.9276381035263,551.3223618964737,0.32975201206083454,-4.7166079754307475,-8.912539508292312
2023-06-12,609.0,623.75,608.75,617.25,208159,0.02151427389325611,0.033054393305439245,-0.025266482431898885,608.8,590.325,626.845,0.36449622629405676,70.69351230336491,627.0899360983543,553.5600639016458,0.7323554140797751,-3.0963325606381886,-7.749292678482618
2023-06-13,617.0,625.0,610.75,612.5,202991,-0.007695423248278654,0.0074013157894736725,0.03375527426160341,609.7,591.325,625.885,0.27951915629015484,65.90909090825207,629.4035545391334,553.2464454608667,0.5560872847256526,-2.165956648753422,-6.6326212945731156
2023-06-14,610.25,618.75,601.5,607.75,187535,-0.0077551020408163085,0.00579230450972279,0.04559139784946242,610.4,592.65,624.885,0.27115400977001225,59.761904761107935,631.0949024750495,554.2050975249505,0.39276988697683807,-1.7869641778389678,-5.663486970456696
2023-06-15,608.0,626.5,607.25,623.25,194030,0.025503907856849084,0.021302744776730886,0.1099732858414959,613.0,595.7375,624.275,0.24648054980064882,63.88888888812441,633.5623995546063,557.9126004453937,0.7273647867910032,-0.24644503088768488,-4.580075988288988
2023-06-16,623.0,641.0,622.25,640.25,223694,0.02727637384677095,0.05957798924286295,0.15308419630796943,620.2,599.9875,624.025,0.25010845813495003,65.01035196611997,637.759138970616,562.2158610293839,1.0659452726214784,2.305840194530674,-3.2028901135610415
2023-06-20,640.75,647.0,635.5,643.75,151986,0.005466614603670372,0.042932361279870435,0.16095581605049603,625.5,604.45,624.03,0.24815690902872878,71.77242888314677,640.6499563826463,568.2500436173538,1.0856366671958528,4.555554194152023,-1.6511988740585233
2023-06-21,650.0,672.5,647.25,671.0,150762,0.04233009708737856,0.09551020408163269,0.17513134851138346,637.2,609.45,624.37,0.2663867398358505,77.20848056460713,653.0621059967746,565.8378940032255,1.4113053839778105,8.421269547652855,0.3632972800488506
2023-06-22,668.25,670.25,653.0,660.5,117760,-0.015648286140089396,0.08679555738379263,0.1437229437229437,647.75,613.6,624.56,0.2791248246702365,72.59136212557058,660.1107231552171,567.089276844783,1.0083696149677772,10.522520678019077,2.395143952472313
2023-06-23,655.75,657.5,629.0,630.75,142972,-0.04504163512490533,0.012033694344163681,0.07407407407407418,649.25,615.775,624.055,0.331361248506443,56.641221373561535,661.1520461333663,570.3979538666337,0.3300126666675136,9.692647523968617,3.85464581195178
2023-06-26,634.5,649.75,621.0,637.25,117529,0.010305192231470528,-0.004685669660288938,0.07871349978840447,648.65,618.1,623.755,0.3320974535956079,62.51968503881873,662.8388327730498,573.3611672269502,0.4280397769226771,9.446966426938957,4.973110637020964
2023-06-27,643.0,644.5,622.25,623.0,93042,-0.02236171047469593,-0.03223300970873788,0.0314569536423841,644.5,619.05,622.89,0.3371572595436766,54.615384614914085,663.3327636659559,574.767236334044,0.08919949147229579,8.017080499038798,5.58190491514162
2023-06-28,625.0,630.75,582.0,590.0,89617,-0.052969502407704705,-0.12071535022354696,-0.006734006734006703,628.3,618.85,621.16,0.3848082404140038,46.284224249988014,663.6423278204998,574.0576721795003,-0.644083516167071,4.188187810667955,5.303161382265991
2023-06-29,591.75,603.5,574.0,581.0,42588,-0.015254237288135575,-0.12036336109008328,-0.02188552188552184,612.4,618.2,619.23,0.3885696613401181,42.490372271838325,664.8494767838902,571.5505232161099,-0.797436596604379,0.42668926331884904,4.327866645028919
2023-06-30,585.0,595.0,552.0,554.5,6458,-0.04561101549053359,-0.12088783194609587,-0.06413502109704639,597.15,616.3,616.875,0.41991248980001433,38.443670150737184,669.9299700187377,562.6700299812622,-1.152340752349712,-4.628499060730405,2.5365930433225428
2023-07-03,558.5,568.25,553.25,557.25,1610,0.004959422903516586,-0.12553942722636324,-0.08497536945812811,581.15,613.7125,614.745,0.40523332224661596,35.365853658295066,673.4690840900017,553.9559159099982,-0.9448749599686804,-8.317718740013675,0.36573024013472
2023-07-05,558.0,564.25,545.5,548.25,1921,-0.016150740242261152,-0.119983948635634,-0.08242677824267786,566.2,611.25,612.445,0.4040270145627189,34.647550776351224,677.5233573522349,544.9766426477651,-0.9506082461624433,-11.828010016044686,-2.0730182123983307
2023-07-06,547.25,569.25,547.25,566.75,1410,0.033743730050159515,-0.03940677966101691,-0.06784539473684215,561.55,609.1875,610.755,0.4192592089386286,40.80717488763619,678.3895069301324,539.9854930698676,-0.6132408853804536,-12.973240370959275,-4.253062931092401
2023-07-07,567.0,571.75,560.0,560.5,1322,-0.011027790030877838,-0.03528399311531838,-0.07240380637153498,557.45,607.0,609.035,0.4200737875607032,35.32163742666924,679.5443602944192,534.4556397055808,-0.6409871120403701,-14.219285142829222,-6.246307583352927
2023-07-10,561.0,572.0,561.0,570.75,518,0.018287243532560282,0.029305680793507705,-0.06472757066775914,560.7,605.025,607.62,0.42461835033528805,33.212560386248796,679.3262892145726,530.7237107854273,-0.4612975139768034,-14.218451050918361,-7.840736411196375
2023-07-11,567.5,585.5,567.5,571.75,789,0.001752080595707417,0.026020637056976215,-0.05378568473314027,563.6,603.4,606.515,0.4241362748745723,32.39608801933812,679.1795278561793,527.6204721438206,-0.41765897591795736,-13.976159443991492,-9.06782110046074
2023-07-12,573.0,574.5,547.25,549.75,713,-0.03847835592479232,0.002735978112175186,-0.10935601458080191,563.9,600.025,604.79,0.432612642941391,19.573400250803502,679.1461429591238,520.9038570408761,-0.6354180200090119,-15.376898969621152,-10.329636742329786
2023-07-13,547.5,593.75,547.5,593.5,129,0.07958162801273305,0.04719894133215696,-0.031020408163265345,569.25,599.075,603.87,0.5271242549522592,35.591397849248054,678.0215342061202,520.1284657938799,-0.07061741286118157,-12.818314193703031,-10.827372254074712
2023-07-14,609.75,614.75,599.75,599.75,107632,0.010530749789384952,0.07002676181980383,-0.013163307280954384,577.1,598.675,603.105,0.5280368865564609,42.583732057131016,677.5174645132718,519.8325354867281,0.013634784333989498,-10.1703157256444,-10.695960943853812
2023-07-17,512.0,519.75,496.25,499.25,87969,-0.16756982075864946,-0.12527376259307932,-0.19895707982350586,562.8,592.475,600.185,0.7856088394972236,27.227722772151424,681.9638849316831,502.98611506831696,-1.0417494873364994,-15.978476013120826,-11.75246398687408
2023-07-18,497.75,534.75,495.25,528.75,132495,0.059088632949424236,-0.0752076956711849,-0.1741507223740726,554.2,586.9,597.83,0.8131512638311649,35.19245875868258,677.739418756398,496.060581243602,-0.6401405997089817,-17.9984747903344,-13.001666175155508
2023-07-19,526.75,557.5,525.75,545.5,193393,0.03167848699763587,-0.0077307867212369485,-0.152621359223301,553.35,581.9875,595.675,0.8242431517970104,42.632450330928194,670.4782778424291,493.49672215757084,-0.41233110262552,-18.042325806149734,-14.009798119166502
2023-07-20,545.0,554.5,533.0,537.25,123962,-0.015123739688359339,-0.09477674810446501,-0.1993293591654247,542.1,575.3,593.29,0.803710816503897,42.73858921141964,655.2726268959062,495.3273731040937,-0.4757877973607006,-18.52793004097998,-14.913424516301752
2023-07-21,536.5,538.75,522.5,527.0,121026,-0.019078641228478355,-0.1213005418924552,-0.2021196063588191,527.55,568.625,590.985,0.8041359641085495,45.17543859626931,640.5342081066575,496.7157918933425,-0.5788549352150127,-19.513462388901075,-15.833432101224895
2023-07-24,534.0,564.5,531.5,560.5,115440,0.06356736242884242,0.12268402603905848,-0.1113753468093539,539.8,565.1125,589.285,0.8331427485247779,50.51464766406739,630.8419044189009,499.38309558109904,-0.0701740726356952,-17.394966665614902,-16.145739016928108
2023-07-25,559.75,563.75,545.5,557.5,104803,-0.00535236396074934,0.05437352245862881,-0.12514711651628085,545.55,561.125,587.785,0.8313025769354111,51.4931396285001,617.428337285404,504.82166271459596,-0.064383394924146,-15.775898390247903,-16.071770891056758
2023-07-26,557.0,557.25,536.75,540.25,106980,-0.030941704035874484,-0.009624197983501337,-0.1328250401284109,544.5,556.9875,585.925,0.834192493450425,45.70502431097574,605.8108860595112,508.1641139404887,-0.34281727161578235,-15.701823460905416,-15.99778140459812
2023-07-27,540.25,547.0,532.25,533.25,95908,-0.012956964368348034,-0.007445323406235493,-0.09618644067796611,543.7,554.15,584.74,0.8160258361108872,45.59417946624468,601.4681838864942,506.83181611350574,-0.4416906627289467,-16.02252625937183,-16.002730375575783
2023-07-28,533.0,538.5,516.75,521.0,90547,-0.02297233942803567,-0.011385199240986688,-0.10327022375215145,542.5,551.15,583.535,0.8179306955846922,42.008032128325105,598.9066198222026,503.39338017779727,-0.631326088659225,-17.067244107587044,-16.215633122766913
2023-07-31,516.25,516.25,498.5,504.0,111158,-0.03262955854126681,-0.10080285459411242,-0.09107303877367001,531.2,548.625,582.385,0.8104572174363611,39.64858670724062,600.7739516471332,496.47604835286677,-0.8557219002573675,-19.045895028291284,-16.781685505549724
