date,open,high,low,close,volume,return_1d,return_5d,return_20d,ma_5,ma_20,ma_50,volatility_20d,rsi_14,bb_upper,bb_lower,bb_position,macd,macd_signal
2023-06-05,75.02999877929688,75.05999755859375,71.7300033569336,72.1500015258789,383943,0.005715133458575661,-0.007155589048695177,0.011354152362887948,70.30799865722656,71.69150009155274,74.7452001953125,0.3355088963495032,52.84464282701048,74.70104538879828,68.6819547943072,0.15234907237667136,-0.8905957276988374,-1.0398530105485349
2023-06-06,71.98999786376953,72.33000183105469,70.12999725341797,71.73999786376953,314962,-0.00568265631931153,0.032824630137470834,-0.019409591679330207,70.76399841308594,71.62049980163575,74.79480010986327,0.3230491543735032,52.38611035665241,74.55011275364033,68.69088684963116,0.04078970979696844,-0.7979002391664238,-0.9914619037433484
2023-06-07,71.55999755859375,73.19000244140625,71.01000213623047,72.52999877929688,299127,0.01101200082313225,0.06520785255110195,-0.01600868701441016,71.6519989013672,71.56149978637696,74.78920013427734,0.32447476632781513,49.13092946520156,74.35845539944542,68.7645441733085,0.3462689891681123,-0.6542266481553298,-0.9240142365327694
2023-06-08,72.47000122070312,73.27999877929688,69.02999877929688,71.29000091552734,485396,-0.017096344748918968,0.01697578412709322,-0.017502710664245247,71.88999938964844,71.49799995422363,74.75100021362304,0.32543282817490027,48.37421567613891,74.25691402717212,68.73908588127514,-0.07539163351559405,-0.6315783682149885,-0.8655266354705896
2023-06-09,70.94000244140625,71.7699966430664,70.0999984741211,70.16999816894531,300724,-0.015710516653087758,-0.02188457961492507,-0.009877304226159067,71.5759994506836,71.4629997253418,74.6950001525879,0.3195062228207343,46.23771766721662,74.27275118550781,68.65324826517579,-0.46018360509156114,-0.6946685515375179,-0.8313548189153119
2023-06-12,70.2699966430664,70.33000183105469,66.80000305175781,67.12000274658203,404769,-0.04346580450265847,-0.06971585132250768,-0.041690435904862655,70.56999969482422,71.31699981689454,74.55000015258788,0.3527027340100244,38.37709826332296,74.68590462728524,67.94809500650383,-1.2458045882576252,-0.9761802128491723,-0.8603200331667497
2023-06-13,67.30999755859375,69.83000183105469,67.1500015258789,69.41999816894531,366354,0.03426691490235978,-0.03233899866054879,-0.02376603047251602,70.10599975585937,71.23249969482421,74.42500015258788,0.37093225363060717,42.18538380430572,74.7064078343913,67.75859155525713,-0.5217471081583063,-1.004363687735733,-0.8891288718672083
2023-06-14,69.3499984741211,70.48999786376953,68.06999969482422,68.2699966430664,304449,-0.016565853589914914,-0.05873434727599158,-0.03655100119921251,69.25399932861328,71.10299949645996,74.1820001220703,0.3750039347095516,36.23582549662895,74.81997172513235,67.38602726778757,-0.7621802582929756,-1.105651822510211,-0.9324335916135628
2023-06-15,68.69999694824219,70.95999908447266,67.97000122070312,70.62000274658203,115613,0.034422238451278675,-0.009398206765899753,-0.030344624864890646,69.11999969482422,70.99249954223633,73.9802001953125,0.3825478221852563,47.236183878921,74.62370888422687,67.36129020024579,-0.10258202173489905,-0.9869157675486804,-0.9433300528924273
2023-06-16,70.55000305175781,71.88999938964844,69.94999694824219,71.77999877929688,99185,0.01642588484281804,0.022944287478463776,-0.0011133012854882551,69.44199981689454,70.98849945068359,73.80360015869141,0.3846789324007254,47.99639999560052,74.61585931517538,67.3611395861918,0.21820259311447063,-0.791019234256467,-0.9128678308112109
2023-06-20,71.44999694824219,72.08999633789062,69.6500015258789,70.5,430492,-0.017832248552030583,0.05035752555284412,-0.014675094437078706,70.11799926757813,70.93599929809571,73.59960021972657,0.3897538570763587,52.5641040074076,74.55953299456448,67.31246560162694,-0.12032433933443736,-0.7297027282492365,-0.8762347541587894
2023-06-21,70.9000015258789,72.72000122070312,70.80000305175781,72.52999877929688,264656,0.028794308926196832,0.04479977949268821,0.007501054751372749,70.73999938964843,70.96299934387207,73.45540023803711,0.4029069232569053,60.601723787122985,74.62741785752038,67.29858083022376,0.4276256736357137,-0.5127802739870049,-0.8035437690055441
2023-06-22,72.43000030517578,72.6500015258789,68.93000030517578,69.51000213623047,421348,-0.04163789733756951,0.018163256981645004,-0.04663285358804414,70.98800048828124,70.79299926757812,73.21500030517578,0.4268278473981648,48.656044598447565,74.39198155081296,67.19401698434329,-0.35648887111464933,-0.5760105468104513,-0.7580370799336947
2023-06-23,69.52999877929688,69.6500015258789,67.3499984741211,69.16000366210938,322475,-0.0050352246204099504,-0.020674016251625238,-0.06967975425014972,70.69600067138671,70.53399963378907,72.93300033569336,0.4191417750179915,43.75606316961548,73.78714610196089,67.28085316561724,-0.42235908683496975,-0.6466896659684522,-0.7357675796671563
